"Date","Price","Open","High","Low","Vol.","Change %"
"28-12-2016","1,186.80","1,188.40","1,194.70","1,181.10","6.27M","0.17%"
"27-12-2016","1,184.75","1,182.00","1,186.95","1,174.50","12.80M","0.69%"
"26-12-2016","1,176.65","1,182.40","1,184.75","1,171.65","7.83M","-0.87%"
"23-12-2016","1,187.00","1,173.80","1,189.35","1,170.30","6.79M","0.99%"
"22-12-2016","1,175.40","1,177.35","1,180.40","1,171.10","4.66M","-0.37%"
"21-12-2016","1,179.75","1,177.50","1,187.00","1,175.55","2.93M","-0.17%"
"20-12-2016","1,181.75","1,174.00","1,184.95","1,172.00","4.13M","0.45%"
"19-12-2016","1,176.50","1,175.10","1,179.00","1,172.65","3.24M","-0.47%"
"16-12-2016","1,182.00","1,176.25","1,184.50","1,172.05","3.85M","0.39%"
"15-12-2016","1,177.40","1,168.25","1,194.70","1,166.00","5.00M","-0.01%"
"14-12-2016","1,177.50","1,186.15","1,186.15","1,175.10","2.70M","-0.80%"
"13-12-2016","1,187.00","1,183.25","1,190.60","1,180.65","2.28M","0.13%"
"12-12-2016","1,185.40","1,192.15","1,192.15","1,182.20","3.61M","-1.19%"
"09-12-2016","1,199.70","1,201.05","1,205.60","1,190.55","4.18M","-0.22%"
"08-12-2016","1,202.40","1,189.85","1,208.50","1,189.65","4.06M","1.62%"
"07-12-2016","1,183.25","1,205.65","1,208.95","1,170.10","5.11M","-1.28%"
"06-12-2016","1,198.60","1,196.15","1,206.90","1,194.10","3.05M","-0.05%"
"05-12-2016","1,199.20","1,192.00","1,201.60","1,182.05","3.93M","0.32%"
"02-12-2016","1,195.40","1,193.85","1,207.00","1,180.25","4.88M","-0.41%"
"01-12-2016","1,200.35","1,208.30","1,211.95","1,197.30","3.66M","-0.38%"
"30-11-2016","1,204.90","1,190.80","1,207.45","1,185.25","5.24M","1.87%"
"29-11-2016","1,182.80","1,188.75","1,197.00","1,180.85","3.21M","-0.51%"
"28-11-2016","1,188.85","1,184.25","1,203.00","1,183.60","4.24M","-0.53%"
"25-11-2016","1,195.15","1,178.95","1,198.90","1,166.15","5.22M","2.31%"
"24-11-2016","1,168.20","1,184.85","1,186.85","1,164.85","12.07M","-1.43%"
"23-11-2016","1,185.15","1,201.50","1,202.40","1,180.00","8.79M","-1.25%"
"22-11-2016","1,200.10","1,202.15","1,204.60","1,191.05","11.61M","0.09%"
"21-11-2016","1,199.05","1,217.00","1,218.95","1,189.40","11.34M","-1.36%"
"18-11-2016","1,215.55","1,230.85","1,235.90","1,212.65","5.12M","-1.38%"
"17-11-2016","1,232.60","1,239.50","1,250.90","1,226.65","4.53M","-1.06%"
"16-11-2016","1,245.75","1,268.70","1,268.70","1,243.50","6.12M","-1.19%"
"15-11-2016","1,260.80","1,279.95","1,293.95","1,256.55","9.86M","-1.53%"
"11-11-2016","1,280.35","1,273.55","1,285.90","1,269.35","7.98M","-0.03%"
"10-11-2016","1,280.70","1,264.55","1,284.65","1,256.25","8.63M","1.90%"
"09-11-2016","1,256.80","1,204.90","1,261.50","1,200.45","8.53M","-0.20%"
"08-11-2016","1,259.35","1,252.80","1,263.40","1,243.30","2.78M","0.54%"
"07-11-2016","1,252.55","1,257.95","1,259.10","1,245.30","2.97M","0.17%"
"04-11-2016","1,250.40","1,255.90","1,257.90","1,248.50","3.67M","-0.93%"
"03-11-2016","1,262.10","1,244.15","1,265.00","1,237.40","3.35M","0.77%"
"02-11-2016","1,252.45","1,253.85","1,260.50","1,246.35","3.81M","-0.93%"
"01-11-2016","1,264.15","1,256.10","1,268.95","1,253.05","3.27M","0.70%"
"30-10-2016","1,255.35","1,262.90","1,263.00","1,253.25","644.00K","-0.63%"
"28-10-2016","1,263.35","1,258.30","1,266.90","1,246.40","4.46M","1.05%"
"27-10-2016","1,250.20","1,232.50","1,254.20","1,223.00","9.39M","0.88%"
"26-10-2016","1,239.25","1,239.50","1,255.00","1,235.30","10.90M","-0.80%"
"25-10-2016","1,249.20","1,265.65","1,267.10","1,243.00","15.51M","-1.24%"
"24-10-2016","1,264.90","1,271.95","1,276.80","1,263.00","8.70M","-0.36%"
"21-10-2016","1,269.45","1,258.10","1,271.90","1,250.55","4.13M","1.01%"
"20-10-2016","1,256.75","1,263.25","1,269.00","1,252.00","3.44M","-0.28%"
"19-10-2016","1,260.30","1,264.65","1,264.70","1,250.60","5.44M","0.04%"
"18-10-2016","1,259.85","1,247.00","1,262.40","1,241.55","5.02M","1.58%"
"17-10-2016","1,240.25","1,270.15","1,270.70","1,236.00","5.98M","-2.05%"
"14-10-2016","1,266.20","1,269.70","1,270.00","1,259.20","3.12M","0.00%"
"13-10-2016","1,266.20","1,282.05","1,286.00","1,259.80","3.68M","-1.88%"
"10-10-2016","1,290.50","1,292.00","1,293.00","1,285.10","1.75M","0.20%"
"07-10-2016","1,287.90","1,291.90","1,294.95","1,285.00","2.93M","-0.12%"
"06-10-2016","1,289.50","1,295.10","1,303.20","1,287.00","2.88M","-0.32%"
"05-10-2016","1,293.70","1,303.50","1,310.00","1,285.70","3.18M","-0.42%"
"04-10-2016","1,299.15","1,297.90","1,303.00","1,290.75","2.61M","0.31%"
"03-10-2016","1,295.15","1,291.00","1,297.95","1,286.15","3.57M","0.92%"
"30-09-2016","1,283.40","1,289.25","1,292.90","1,278.45","4.02M","0.44%"
"29-09-2016","1,277.80","1,298.60","1,306.70","1,274.00","9.72M","-1.61%"
"28-09-2016","1,298.65","1,303.80","1,303.80","1,291.65","10.92M","-0.12%"
"27-09-2016","1,300.15","1,303.95","1,308.95","1,296.60","10.62M","-0.02%"
"26-09-2016","1,300.45","1,308.40","1,312.00","1,298.00","11.63M","-1.17%"
"23-09-2016","1,315.85","1,312.80","1,322.00","1,306.05","6.79M","0.30%"
"22-09-2016","1,311.90","1,310.05","1,322.95","1,305.60","5.12M","0.97%"
"21-09-2016","1,299.25","1,296.50","1,303.00","1,292.15","3.44M","0.50%"
"20-09-2016","1,292.85","1,300.00","1,301.90","1,290.00","3.55M","-0.34%"
"19-09-2016","1,297.30","1,303.85","1,308.95","1,295.20","4.29M","-0.59%"
"16-09-2016","1,305.05","1,291.00","1,312.60","1,291.00","7.38M","1.39%"
"15-09-2016","1,287.10","1,277.60","1,290.50","1,275.60","3.76M","0.74%"
"14-09-2016","1,277.70","1,282.70","1,282.75","1,273.60","4.30M","-0.77%"
"12-09-2016","1,287.55","1,280.55","1,291.85","1,279.55","4.94M","-0.87%"
"09-09-2016","1,298.85","1,297.05","1,302.60","1,286.50","3.81M","0.07%"
"08-09-2016","1,297.90","1,299.20","1,301.90","1,292.00","3.14M","0.15%"
"07-09-2016","1,295.90","1,308.05","1,312.30","1,291.00","3.33M","-0.85%"
"06-09-2016","1,307.00","1,298.00","1,310.95","1,297.50","4.28M","1.14%"
"02-09-2016","1,292.25","1,291.25","1,295.95","1,286.55","3.43M","0.32%"
"01-09-2016","1,288.10","1,294.90","1,295.55","1,284.15","4.94M","-0.65%"
"31-08-2016","1,296.50","1,279.00","1,299.75","1,272.45","6.16M","1.59%"
"30-08-2016","1,276.25","1,253.85","1,278.80","1,252.15","5.38M","2.28%"
"29-08-2016","1,247.85","1,264.10","1,264.10","1,245.20","3.23M","-1.51%"
"26-08-2016","1,267.00","1,268.30","1,270.80","1,262.10","2.34M","0.74%"
"25-08-2016","1,257.70","1,265.05","1,266.00","1,255.25","7.15M","-0.29%"
"24-08-2016","1,261.40","1,251.00","1,263.50","1,246.45","11.72M","0.73%"
"23-08-2016","1,252.20","1,250.15","1,254.75","1,246.45","12.11M","0.21%"
"22-08-2016","1,249.60","1,247.05","1,254.00","1,240.60","11.37M","0.20%"
"19-08-2016","1,247.15","1,250.95","1,251.00","1,242.00","3.49M","-0.51%"
"18-08-2016","1,253.55","1,236.60","1,255.45","1,233.95","4.21M","1.39%"
"17-08-2016","1,236.35","1,233.35","1,239.00","1,227.00","4.62M","0.53%"
"16-08-2016","1,229.80","1,239.05","1,243.00","1,216.50","4.20M","-0.15%"
"12-08-2016","1,231.70","1,240.60","1,241.35","1,224.20","4.81M","-0.24%"
"11-08-2016","1,234.70","1,231.95","1,241.80","1,228.70","3.39M","-0.09%"
"10-08-2016","1,235.85","1,256.00","1,256.00","1,230.00","2.94M","-1.36%"
"09-08-2016","1,252.85","1,261.95","1,261.95","1,244.45","2.91M","-0.46%"
"08-08-2016","1,258.65","1,260.00","1,263.90","1,253.40","3.40M","0.12%"
"05-08-2016","1,257.15","1,255.00","1,264.90","1,250.15","3.65M","0.51%"
"04-08-2016","1,250.75","1,254.40","1,254.40","1,241.75","3.39M","0.10%"
"03-08-2016","1,249.50","1,249.50","1,259.35","1,239.75","4.88M","-0.26%"
"02-08-2016","1,252.80","1,254.00","1,265.85","1,249.30","3.31M","0.01%"
"01-08-2016","1,252.65","1,257.55","1,268.60","1,236.20","4.74M","-0.04%"
"29-07-2016","1,253.10","1,256.15","1,256.90","1,242.25","3.16M","0.40%"
"28-07-2016","1,248.05","1,239.20","1,249.80","1,235.65","7.20M","0.89%"
"27-07-2016","1,237.00","1,237.35","1,248.60","1,230.25","14.00M","-0.20%"
"26-07-2016","1,239.45","1,245.05","1,246.95","1,236.55","12.00M","-0.70%"
"25-07-2016","1,248.25","1,236.85","1,252.00","1,230.40","11.23M","1.06%"
"22-07-2016","1,235.10","1,238.70","1,238.70","1,225.60","4.70M","0.16%"
"21-07-2016","1,233.10","1,236.90","1,242.50","1,226.25","8.10M","-0.34%"
"20-07-2016","1,237.35","1,234.60","1,242.00","1,227.05","3.50M","1.12%"
"19-07-2016","1,223.65","1,227.55","1,232.45","1,217.20","3.25M","-0.61%"
"18-07-2016","1,231.15","1,226.90","1,240.25","1,225.00","4.07M","0.42%"
"15-07-2016","1,225.95","1,209.75","1,227.95","1,198.70","5.23M","1.61%"
"14-07-2016","1,206.55","1,200.10","1,208.70","1,195.90","3.10M","0.50%"
