"Date","Price","Open","High","Low","Vol.","Change %"
"11-08-2025","1,481.10","1,480.40","1,522.70","1,469.70","888.89K","0.05%"
"08-08-2025","1,480.40","1,473.80","1,496.00","1,473.80","1.37M","-0.11%"
"07-08-2025","1,482.00","1,455.00","1,492.00","1,450.00","1.59M","1.58%"
"06-08-2025","1,459.00","1,480.10","1,481.50","1,453.30","1.04M","-1.78%"
"05-08-2025","1,485.40","1,470.10","1,487.80","1,461.20","2.93M","0.71%"
"04-08-2025","1,475.00","1,435.00","1,477.00","1,419.10","1.58M","2.52%"
"01-08-2025","1,438.80","1,456.60","1,459.80","1,432.40","1.62M","-1.70%"
"31-07-2025","1,463.70","1,450.00","1,473.30","1,447.20","1.38M","0.03%"
"30-07-2025","1,463.20","1,451.30","1,466.10","1,448.60","1.30M","0.65%"
"29-07-2025","1,453.80","1,450.60","1,459.10","1,436.40","1.46M","0.22%"
"28-07-2025","1,450.60","1,462.00","1,466.00","1,445.10","1.07M","-0.77%"
"25-07-2025","1,461.90","1,490.10","1,501.30","1,455.70","1.18M","-2.45%"
"24-07-2025","1,498.60","1,554.00","1,554.00","1,495.50","2.21M","-3.10%"
"23-07-2025","1,546.60","1,551.00","1,552.90","1,534.50","2.89M","-0.04%"
"22-07-2025","1,547.20","1,550.00","1,552.80","1,541.20","1.40M","0.22%"
"21-07-2025","1,543.80","1,551.00","1,553.40","1,531.30","988.10K","-0.33%"
"18-07-2025","1,548.90","1,573.00","1,574.00","1,538.00","3.62M","-0.95%"
"17-07-2025","1,563.70","1,583.40","1,603.90","1,560.90","7.62M","-2.75%"
"16-07-2025","1,607.90","1,580.00","1,611.00","1,577.30","2.21M","1.83%"
"15-07-2025","1,579.00","1,554.60","1,594.90","1,553.00","2.57M","0.15%"
"14-07-2025","1,576.70","1,598.00","1,598.00","1,564.10","2.07M","-1.61%"
"11-07-2025","1,602.50","1,580.00","1,607.00","1,577.80","2.56M","0.15%"
"10-07-2025","1,600.10","1,614.80","1,617.40","1,590.10","1.63M","-0.91%"
"09-07-2025","1,614.80","1,634.80","1,636.40","1,612.00","1.17M","-1.26%"
"08-07-2025","1,635.40","1,623.00","1,643.80","1,619.00","1.32M","0.71%"
"07-07-2025","1,623.90","1,647.90","1,647.90","1,615.50","1.55M","-1.89%"
"04-07-2025","1,655.20","1,645.00","1,663.90","1,640.50","1.31M","-1.00%"
"03-07-2025","1,671.90","1,684.90","1,693.00","1,670.00","1.71M","-0.31%"
"02-07-2025","1,677.10","1,675.00","1,699.00","1,667.50","1.93M","0.35%"
"01-07-2025","1,671.20","1,690.00","1,697.40","1,669.30","1.69M","-0.94%"
"30-06-2025","1,687.00","1,680.60","1,689.50","1,660.00","1.55M","0.75%"
"27-06-2025","1,674.40","1,698.00","1,701.80","1,662.60","6.18M","-0.93%"
"26-06-2025","1,690.20","1,695.00","1,703.50","1,670.30","2.53M","-0.87%"
"25-06-2025","1,705.00","1,689.80","1,714.00","1,675.80","1.42M","1.66%"
"24-06-2025","1,677.10","1,698.80","1,708.50","1,674.70","1.92M","-0.28%"
"23-06-2025","1,681.80","1,680.00","1,692.00","1,675.70","732.38K","-0.84%"
"20-06-2025","1,696.10","1,680.00","1,708.50","1,669.20","3.43M","0.72%"
"19-06-2025","1,684.00","1,684.00","1,694.00","1,660.70","3.06M","-1.56%"
"18-06-2025","1,710.70","1,717.10","1,732.80","1,708.40","1.30M","-0.46%"
"17-06-2025","1,718.60","1,692.40","1,725.00","1,684.20","2.11M","1.46%"
"16-06-2025","1,693.90","1,658.00","1,706.00","1,651.20","2.16M","2.10%"
"13-06-2025","1,659.00","1,605.00","1,669.00","1,604.60","2.51M","0.89%"
"12-06-2025","1,644.40","1,636.00","1,658.00","1,611.90","2.32M","0.42%"
"11-06-2025","1,637.50","1,618.00","1,649.00","1,604.60","2.66M","1.65%"
"10-06-2025","1,610.90","1,579.10","1,633.50","1,579.00","3.32M","2.01%"
"09-06-2025","1,579.10","1,575.00","1,591.50","1,571.10","598.11K","0.51%"
"06-06-2025","1,571.10","1,564.80","1,573.50","1,555.40","828.05K","0.53%"
"05-06-2025","1,562.80","1,560.00","1,570.30","1,547.00","1.53M","0.39%"
"04-06-2025","1,556.70","1,544.80","1,566.60","1,544.00","1.44M","0.84%"
"03-06-2025","1,543.80","1,555.90","1,564.90","1,533.90","2.32M","-0.34%"
"02-06-2025","1,549.10","1,565.00","1,569.00","1,542.10","2.12M","-1.58%"
"30-05-2025","1,573.90","1,595.00","1,595.00","1,568.00","2.78M","-1.63%"
"29-05-2025","1,600.00","1,592.10","1,604.90","1,584.50","1.80M","1.25%"
"28-05-2025","1,580.30","1,600.80","1,602.00","1,578.10","820.96K","-0.76%"
"27-05-2025","1,592.40","1,601.40","1,604.30","1,578.50","1.39M","-0.56%"
"26-05-2025","1,601.40","1,583.00","1,604.40","1,583.00","711.03K","1.34%"
"23-05-2025","1,580.30","1,575.00","1,604.00","1,567.80","1.16M","0.94%"
"22-05-2025","1,565.60","1,589.70","1,589.70","1,558.00","1.79M","-2.04%"
"21-05-2025","1,598.20","1,577.00","1,603.00","1,569.40","930.03K","1.41%"
"20-05-2025","1,576.00","1,612.00","1,619.50","1,573.30","1.87M","-1.36%"
"19-05-2025","1,597.80","1,617.00","1,626.20","1,593.10","681.87K","-1.19%"
"16-05-2025","1,617.00","1,635.00","1,635.90","1,601.30","1.16M","-0.74%"
"15-05-2025","1,629.10","1,606.00","1,636.40","1,600.20","2.97M","1.62%"
"14-05-2025","1,603.20","1,584.00","1,609.40","1,578.10","2.35M","1.95%"
"13-05-2025","1,572.50","1,600.30","1,600.90","1,565.10","3.72M","-0.04%"
"12-05-2025","1,573.10","1,522.00","1,576.50","1,517.40","1.89M","5.32%"
"09-05-2025","1,493.70","1,480.00","1,501.30","1,478.10","923.17K","-0.61%"
"08-05-2025","1,502.80","1,500.90","1,518.50","1,488.00","2.83M","0.51%"
"07-05-2025","1,495.20","1,489.10","1,504.90","1,480.60","1.27M","-0.07%"
"06-05-2025","1,496.20","1,496.90","1,504.80","1,486.10","1.55M","0.11%"
"05-05-2025","1,494.60","1,499.00","1,506.50","1,490.50","846.02K","-0.11%"
"02-05-2025","1,496.30","1,505.00","1,519.00","1,489.80","1.99M","-0.45%"
"30-04-2025","1,503.00","1,495.30","1,510.80","1,490.00","1.86M","0.51%"
"29-04-2025","1,495.30","1,466.20","1,504.90","1,463.30","2.65M","2.31%"
"28-04-2025","1,461.50","1,469.30","1,480.00","1,437.00","2.08M","-0.03%"
"25-04-2025","1,462.00","1,455.40","1,473.90","1,375.00","8.21M","1.16%"
"24-04-2025","1,445.20","1,445.00","1,467.50","1,434.30","2.50M","0.39%"
"23-04-2025","1,439.60","1,418.90","1,449.40","1,408.00","5.94M","4.58%"
"22-04-2025","1,376.50","1,374.00","1,396.00","1,361.20","2.47M","0.22%"
"21-04-2025","1,373.50","1,304.00","1,389.00","1,303.00","3.76M","5.10%"
"17-04-2025","1,306.80","1,295.10","1,308.90","1,275.90","3.03M","-0.15%"
"16-04-2025","1,308.70","1,292.00","1,314.60","1,283.50","1.09M","0.54%"
"15-04-2025","1,301.70","1,314.20","1,314.20","1,286.80","1.51M","1.52%"
"11-04-2025","1,282.25","1,275.00","1,312.35","1,274.20","1.80M","0.75%"
"09-04-2025","1,272.75","1,290.00","1,299.95","1,264.35","3.72M","-3.17%"
"08-04-2025","1,314.40","1,314.00","1,342.05","1,291.15","2.87M","2.05%"
"07-04-2025","1,288.00","1,245.00","1,293.80","1,209.40","3.04M","-2.49%"
"04-04-2025","1,320.95","1,350.00","1,359.20","1,318.85","1.76M","-3.53%"
"03-04-2025","1,369.35","1,397.00","1,400.00","1,360.25","1.94M","-3.77%"
"02-04-2025","1,423.05","1,397.15","1,426.05","1,397.15","1.62M","2.00%"
"01-04-2025","1,395.15","1,402.00","1,416.95","1,385.40","1.58M","-1.63%"
"28-03-2025","1,418.25","1,415.10","1,430.00","1,408.55","1.64M","-0.40%"
"27-03-2025","1,423.90","1,407.15","1,430.00","1,406.00","2.54M","0.54%"
"26-03-2025","1,416.30","1,464.00","1,464.00","1,409.50","2.23M","-2.69%"
"25-03-2025","1,455.50","1,474.00","1,483.90","1,449.45","2.06M","-0.22%"
"24-03-2025","1,458.65","1,415.85","1,467.65","1,413.60","3.07M","3.51%"
"21-03-2025","1,409.25","1,390.05","1,431.10","1,382.05","4.06M","-0.09%"
"20-03-2025","1,410.55","1,403.15","1,421.00","1,400.05","2.86M","1.03%"
"19-03-2025","1,396.15","1,430.65","1,431.80","1,394.40","5.56M","-2.41%"
"18-03-2025","1,430.65","1,446.25","1,453.00","1,426.55","3.28M","-0.66%"
"17-03-2025","1,440.10","1,442.95","1,448.00","1,425.20","1.75M","-0.04%"
"13-03-2025","1,440.65","1,442.00","1,456.25","1,422.00","995.81K","0.16%"
"12-03-2025","1,438.30","1,481.00","1,489.00","1,408.80","2.67M","-2.77%"
"11-03-2025","1,479.20","1,464.50","1,487.40","1,453.60","1.77M","-0.51%"
"10-03-2025","1,486.85","1,492.35","1,500.00","1,482.50","798.49K","-0.37%"
"07-03-2025","1,492.35","1,501.95","1,507.20","1,482.00","893.70K","-0.74%"
"06-03-2025","1,503.45","1,541.00","1,550.80","1,500.95","2.25M","-2.25%"
"05-03-2025","1,538.10","1,488.25","1,549.00","1,487.50","1.97M","3.35%"
"04-03-2025","1,488.25","1,475.00","1,499.45","1,433.05","2.39M","-0.32%"
"03-03-2025","1,493.05","1,500.00","1,531.50","1,476.20","2.85M","0.35%"
"28-02-2025","1,487.85","1,570.00","1,572.90","1,478.40","4.16M","-6.32%"
"27-02-2025","1,588.25","1,575.00","1,595.70","1,569.90","2.21M","-0.36%"
"25-02-2025","1,593.95","1,608.05","1,614.00","1,589.00","1.43M","-1.22%"
"24-02-2025","1,613.70","1,630.00","1,643.95","1,604.25","1.67M","-2.17%"
"21-02-2025","1,649.50","1,657.75","1,664.95","1,642.20","1.48M","-0.50%"
"20-02-2025","1,657.85","1,680.00","1,693.65","1,655.00","1.49M","-1.66%"
"19-02-2025","1,685.80","1,694.05","1,712.40","1,675.05","1.11M","-1.13%"
"18-02-2025","1,705.00","1,668.00","1,708.95","1,664.05","2.65M","2.41%"
"17-02-2025","1,664.95","1,655.90","1,667.95","1,631.00","1.11M","0.35%"
"14-02-2025","1,659.10","1,685.00","1,694.00","1,652.05","961.94K","-0.97%"
"13-02-2025","1,675.30","1,675.00","1,689.45","1,640.55","1.56M","-0.29%"
"12-02-2025","1,680.20","1,680.00","1,690.00","1,668.80","1.89M","0.67%"
"11-02-2025","1,669.10","1,706.00","1,709.00","1,663.20","1.80M","-1.76%"
"10-02-2025","1,699.05","1,683.00","1,703.75","1,673.20","1.24M","0.41%"
"07-02-2025","1,692.10","1,675.00","1,695.60","1,657.90","1.58M","1.35%"
"06-02-2025","1,669.60","1,670.00","1,684.70","1,650.00","1.29M","0.52%"
"05-02-2025","1,661.00","1,662.85","1,671.00","1,644.40","1.45M","0.12%"
"04-02-2025","1,659.05","1,662.75","1,676.95","1,645.05","1.47M","0.26%"
"03-02-2025","1,654.70","1,630.00","1,664.05","1,605.15","1.42M","0.50%"
"01-02-2025","1,646.40","1,674.50","1,685.90","1,636.70","410.47K","-1.68%"
"31-01-2025","1,674.45","1,675.00","1,695.00","1,665.25","1.07M","0.26%"
"30-01-2025","1,670.10","1,685.00","1,704.90","1,657.00","868.83K","-0.66%"
"29-01-2025","1,681.15","1,663.95","1,685.00","1,654.05","1.15M","1.99%"
"28-01-2025","1,648.35","1,655.95","1,664.65","1,638.00","1.82M","-0.34%"
"27-01-2025","1,653.90","1,710.00","1,713.90","1,645.00","1.17M","-4.01%"
"24-01-2025","1,723.05","1,719.00","1,736.40","1,705.35","1.26M","0.56%"
"23-01-2025","1,713.40","1,671.00","1,729.50","1,671.00","2.26M","1.75%"
"22-01-2025","1,683.95","1,642.70","1,688.75","1,635.25","2.48M","2.65%"
