"Date","Price","Open","High","Low","Vol.","Change %"
"22-04-2026","2,956.33","2,957.33","2,998.67","2,891.07","3.90M","1.00%"
"21-04-2026","2,927.00","2,842.67","2,963.00","2,828.53","3.66M","3.48%"
"20-04-2026","2,828.53","2,766.67","2,851.33","2,751.80","3.34M","3.29%"
"17-04-2026","2,738.47","2,733.87","2,778.40","2,726.67","1.87M","0.60%"
"16-04-2026","2,722.20","2,679.80","2,730.20","2,630.07","2.09M","2.64%"
"15-04-2026","2,652.13","2,609.33","2,666.00","2,606.67","1.13M","2.65%"
"13-04-2026","2,583.60","2,559.00","2,599.87","2,542.00","639.28K","-1.05%"
"10-04-2026","2,611.00","2,586.67","2,646.00","2,580.87","1.78M","1.71%"
"09-04-2026","2,567.13","2,605.33","2,625.67","2,560.80","1.12M","-1.39%"
"08-04-2026","2,603.33","2,640.00","2,666.00","2,594.53","2.14M","2.14%"
"07-04-2026","2,548.67","2,545.47","2,599.20","2,517.53","2.99M","-0.28%"
"06-04-2026","2,555.73","2,423.27","2,579.67","2,423.27","7.32M","7.97%"
"02-04-2026","2,367.07","2,290.00","2,378.27","2,266.80","1.70M","0.68%"
"01-04-2026","2,351.00","2,298.00","2,359.93","2,265.33","2.44M","7.00%"
"30-03-2026","2,197.20","2,200.00","2,255.73","2,183.67","2.75M","-3.05%"
"27-03-2026","2,266.40","2,300.67","2,337.27","2,249.07","1.93M","-2.28%"
"25-03-2026","2,319.27","2,277.07","2,354.87","2,260.00","1.63M","3.37%"
"24-03-2026","2,243.73","2,300.07","2,300.67","2,227.40","1.35M","0.27%"
"23-03-2026","2,237.80","2,334.80","2,334.80","2,226.87","1.44M","-5.70%"
"20-03-2026","2,373.07","2,339.33","2,398.67","2,337.60","1.26M","2.23%"
"19-03-2026","2,321.27","2,400.00","2,400.00","2,315.07","1.05M","-4.37%"
"18-03-2026","2,427.27","2,424.00","2,480.00","2,414.00","968.14K","0.18%"
"17-03-2026","2,423.00","2,395.33","2,435.33","2,366.67","1.11M","1.07%"
"16-03-2026","2,397.40","2,325.20","2,408.27","2,285.27","1.96M","3.11%"
"13-03-2026","2,325.20","2,339.93","2,389.07","2,313.47","1.82M","-1.30%"
"12-03-2026","2,355.73","2,402.00","2,402.07","2,335.00","1.48M","-2.59%"
"11-03-2026","2,418.27","2,476.67","2,484.73","2,405.80","1.03M","-2.37%"
"10-03-2026","2,476.87","2,499.93","2,499.93","2,460.00","1.09M","0.70%"
"09-03-2026","2,459.60","2,405.93","2,467.67","2,386.67","1.44M","-0.90%"
"06-03-2026","2,481.87","2,523.33","2,552.67","2,477.20","547.65K","-1.80%"
"05-03-2026","2,527.27","2,510.00","2,536.53","2,475.67","1.07M","0.91%"
"04-03-2026","2,504.53","2,526.87","2,532.00","2,480.67","1.22M","-2.38%"
"02-03-2026","2,565.67","2,503.67","2,591.73","2,503.33","1.20M","-1.31%"
"27-02-2026","2,599.67","2,570.67","2,620.00","2,560.00","1.46M","1.13%"
"26-02-2026","2,570.67","2,614.67","2,631.13","2,561.93","1.64M","-1.68%"
"25-02-2026","2,614.67","2,626.53","2,643.00","2,600.00","593.32K","-0.24%"
"24-02-2026","2,620.87","2,706.67","2,706.73","2,600.00","1.06M","-3.05%"
"23-02-2026","2,703.27","2,723.33","2,746.60","2,693.33","1.01M","-0.88%"
"20-02-2026","2,727.33","2,709.87","2,750.00","2,694.47","507.85K","0.57%"
"19-02-2026","2,711.93","2,787.33","2,787.40","2,702.00","880.94K","-2.85%"
"18-02-2026","2,791.47","2,781.27","2,800.67","2,758.00","559.43K","0.37%"
"17-02-2026","2,781.27","2,810.00","2,816.60","2,753.33","589.26K","-1.36%"
"16-02-2026","2,819.67","2,822.67","2,865.33","2,801.67","1.05M","-0.53%"
"13-02-2026","2,834.67","2,831.40","2,866.00","2,796.73","997.64K","-0.78%"
"12-02-2026","2,857.07","2,812.60","2,865.60","2,788.53","1.42M","1.58%"
"11-02-2026","2,812.60","2,803.33","2,818.67","2,755.13","850.76K","0.82%"
"10-02-2026","2,789.60","2,793.33","2,803.27","2,771.73","974.88K","0.32%"
"09-02-2026","2,780.80","2,744.67","2,825.73","2,731.93","1.49M","1.40%"
"06-02-2026","2,742.53","2,762.93","2,771.33","2,696.27","1.67M","-0.42%"
"05-02-2026","2,754.20","2,648.93","2,761.60","2,575.33","5.76M","2.96%"
"04-02-2026","2,675.07","2,556.00","2,713.33","2,536.67","2.89M","4.96%"
"03-02-2026","2,548.53","2,600.00","2,600.07","2,527.40","1.12M","2.74%"
"02-02-2026","2,480.60","2,486.00","2,486.60","2,430.00","1.57M","-0.22%"
"01-02-2026","2,486.00","2,523.67","2,536.60","2,463.33","915.98K","-1.49%"
"30-01-2026","2,523.67","2,543.33","2,561.20","2,500.73","1.61M","-1.00%"
"29-01-2026","2,549.20","2,566.67","2,571.80","2,505.33","1.15M","-1.04%"
"28-01-2026","2,576.00","2,538.67","2,583.00","2,534.07","969.79K","1.82%"
"27-01-2026","2,530.07","2,517.73","2,545.33","2,478.73","1.50M","1.04%"
"23-01-2026","2,503.93","2,560.00","2,560.00","2,496.00","711.57K","-1.26%"
"22-01-2026","2,535.87","2,516.40","2,565.93","2,511.73","1.75M","1.05%"
"21-01-2026","2,509.60","2,557.33","2,564.07","2,462.07","2.15M","-1.87%"
"20-01-2026","2,557.40","2,642.00","2,642.60","2,546.20","1.37M","-2.78%"
"19-01-2026","2,630.40","2,599.73","2,637.27","2,587.33","933.92K","1.18%"
"16-01-2026","2,599.80","2,606.67","2,651.87","2,593.33","1.30M","-0.83%"
"14-01-2026","2,621.47","2,604.00","2,633.33","2,590.80","1.08M","0.26%"
"13-01-2026","2,614.60","2,705.33","2,706.67","2,551.87","2.48M","-3.32%"
"12-01-2026","2,704.27","2,660.00","2,710.67","2,639.27","1.36M","2.10%"
"09-01-2026","2,648.60","2,653.33","2,672.67","2,634.00","1.15M","-0.44%"
"08-01-2026","2,660.27","2,719.20","2,729.67","2,653.33","1.29M","-1.73%"
"07-01-2026","2,707.00","2,700.00","2,714.33","2,658.80","2.22M","0.32%"
"06-01-2026","2,698.40","2,805.53","2,805.53","2,662.67","9.22M","-8.63%"
"05-01-2026","2,953.20","2,939.73","2,971.33","2,904.67","764.69K","0.46%"
"02-01-2026","2,939.73","2,866.67","2,958.60","2,859.73","1.34M","2.61%"
"01-01-2026","2,864.93","2,852.67","2,872.00","2,837.20","561.90K","0.43%"
"31-12-2025","2,852.67","2,816.67","2,858.73","2,808.00","639.54K","1.69%"
"30-12-2025","2,805.13","2,817.33","2,838.47","2,791.87","1.01M","-0.43%"
"29-12-2025","2,817.33","2,868.80","2,879.93","2,807.40","634.71K","-1.38%"
"26-12-2025","2,856.87","2,860.00","2,892.27","2,842.00","1.54M","-0.10%"
"24-12-2025","2,859.73","2,806.00","2,875.53","2,788.73","1.44M","2.39%"
"23-12-2025","2,792.93","2,822.67","2,824.07","2,784.40","993.52K","-0.41%"
