Company,Algorithm,Initial Capital,Final Portfolio Value,Total Return %,Annualized Return %,Sharpe Ratio,Maximum Drawdown %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Total Reward
NEST,Buy & Hold,100000.0,138997.45403999998,38.99745403999999,23.202822490252274,1.130766832934659,-12.417126443445031,1,0,0,0.0,0.3622474575325132
NTPCc1_NS,Q-Learning,100000.0,99898.77165000001,-0.10122834999999031,-0.06426987976635434,-1.712119089102099,-0.10533886546369743,190,46,49,48.421052631578945,-0.0010126821539055762
NTPCc1_NS,SARSA,100000.0,100725.84799999994,0.7258479999999399,0.4601469816567283,0.14501485181182927,-4.663244999934035,242,61,16,79.22077922077922,0.008282962676813267
NTPCc1_NS,Monte Carlo,100000.0,100752.34024999992,0.7523402499999211,0.476918635290402,0.09992747272919521,-15.675352958282375,319,13,2,86.66666666666667,0.001330837635518744
NTPCc1_NS,Value Iteration,100000.0,99723.17904999995,-0.27682095000005214,-0.17581006373956765,-0.05817687060860632,-3.671819549730397,87,13,2,86.66666666666667,-0.0022779680266779446
NTPCc1_NS,Policy Iteration,100000.0,99723.17904999995,-0.27682095000005214,-0.17581006373956765,-0.05817687060860632,-3.671819549730397,87,13,2,86.66666666666667,-0.0022779680266779446
NTPCc1_NS,Expected SARSA,100000.0,100261.99820000006,0.26199820000006,0.16623242673989846,0.3638139880048183,-0.6175189965574225,324,95,57,62.5,0.002633442173417315
NTPCc1_NS,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
NTPCc1_NS,Buy & Hold,100000.0,103744.32530000003,3.744325300000026,2.3567053874662625,0.21726637624069298,-16.273390220754152,1,0,0,0.0,0.0708439897618549
ONGC,Q-Learning,100000.0,99781.2647700001,-0.21873522999990383,-0.13890483571152856,0.002129108980884517,-7.945816818159695,228,27,14,65.85365853658537,0.00018280650748790411
ONGC,SARSA,100000.0,96909.98444000006,-3.0900155599999417,-1.9727146436583243,-0.8185908585646646,-4.476400626159793,345,51,90,36.17021276595745,-0.03092620785566744
ONGC,Monte Carlo,100000.0,97831.45228000003,-2.168547719999973,-1.3820619764783881,-0.11745769416139877,-13.225237497788317,241,0,0,0.0,-0.015970824121663837
ONGC,Value Iteration,100000.0,99726.81596,-0.27318403999999286,-0.1734990934541103,-0.35526351543842916,-0.4822520910918487,126,31,32,49.2063492063492,-0.0027167208301200926
