Company,Iteration,Max_Value_Change,Converged
BAJAc1_NS,22,1.3407734493193482e-05,False
BAJAc1_NS,23,1.2632360067557527e-05,False
BAJAc1_NS,24,1.1912307924319713e-05,False
BAJAc1_NS,25,1.1242149183633503e-05,False
BAJAc1_NS,26,1.0617167253907647e-05,False
BAJAc1_NS,27,1.003324580851569e-05,False
BAJAc1_NS,28,9.486776696089236e-06,False
BAJAc1_NS,29,8.974583716417133e-06,False
BAJAc1_NS,30,8.493859192065518e-06,False
BAJAc1_NS,31,8.042110963466052e-06,False
BAJAc1_NS,32,7.617117939022282e-06,False
BAJAc1_NS,33,7.21689270656448e-06,False
BAJAc1_NS,34,6.8396499986272084e-06,False
BAJAc1_NS,35,6.483780027048431e-06,False
BAJAc1_NS,36,6.147825879205811e-06,False
BAJAc1_NS,37,5.83046431010942e-06,False
BAJAc1_NS,38,5.530489379588404e-06,False
BAJAc1_NS,39,5.246798477659517e-06,False
BAJAc1_NS,40,4.978380358173985e-06,False
BAJAc1_NS,41,4.724304864256565e-06,False
BAJAc1_NS,42,4.483714081444587e-06,False
BAJAc1_NS,43,4.255814697819182e-06,False
BAJAc1_NS,44,4.0398713864148e-06,False
BAJAc1_NS,45,3.835201055103874e-06,False
BAJAc1_NS,46,3.64116783404915e-06,False
BAJAc1_NS,47,3.457178691549734e-06,False
BAJAc1_NS,48,3.2826795864234447e-06,False
BAJAc1_NS,49,3.1171520795152856e-06,False
BAJAc1_NS,50,2.9601103390083146e-06,False
BAJAc1_NS,51,2.8110984843398483e-06,False
BAJAc1_NS,52,2.6696882219983363e-06,False
BAJAc1_NS,53,2.53547673360042e-06,False
BAJAc1_NS,54,2.4080847826207785e-06,False
BAJAc1_NS,55,2.287155011176218e-06,False
BAJAc1_NS,56,2.1723504024997054e-06,False
BAJAc1_NS,57,2.063352888308375e-06,False
BAJAc1_NS,58,1.959862083276238e-06,False
BAJAc1_NS,59,1.8615941313766121e-06,False
BAJAc1_NS,60,1.7682806510029535e-06,False
